"species","decimalLongitude","decimalLatitude"
"268","Mesophyllum erubescens",-48.366667,-27.266667
"269","Mesophyllum erubescens",-29.316667,-20.5
"270","Mesophyllum erubescens",-40.366667,-20.666667
"271","Mesophyllum erubescens",-29.316667,-20.5
"272","Mesophyllum erubescens",-46.666667,-24.466667
"273","Mesophyllum erubescens",-48.366667,-27.266667
"274","Mesophyllum erubescens",-48.366667,-27.266667
"275","Mesophyllum erubescens",-45.016667,-23.533333
"276","Mesophyllum erubescens",-40.366667,-20.666667
"277","Mesophyllum erubescens",-32.416667,-3.833333
"278","Mesophyllum erubescens",-29.316667,-20.5
"279","Mesophyllum erubescens",-29.316667,-20.5
"280","Mesophyllum erubescens",-40.366667,-20.666667
"281","Mesophyllum erubescens",-44.4,-20.666667
"282","Mesophyllum erubescens",NA,NA
"283","Mesophyllum erubescens",NA,NA
"284","Mesophyllum erubescens",-32.416667,-3.833333
"285","Mesophyllum erubescens",-40.366667,-20.666667
"286","Mesophyllum erubescens",NA,NA
"287","Mesophyllum erubescens",-46.666667,-24.466667
"288","Mesophyllum erubescens",NA,NA
"289","Mesophyllum erubescens",NA,NA
"290","Mesophyllum erubescens",NA,NA
"291","Mesophyllum erubescens",NA,NA
"292","Mesophyllum erubescens",NA,NA
"293","Mesophyllum erubescens",NA,NA
"294","Mesophyllum erubescens",NA,NA
"295","Mesophyllum erubescens",96.85,-11.833333
"296","Mesophyllum erubescens",NA,NA
"297","Mesophyllum erubescens",NA,NA
"298","Mesophyllum erubescens",NA,NA
"299","Mesophyllum erubescens",NA,NA
"300","Mesophyllum erubescens",NA,NA
"301","Mesophyllum erubescens",NA,NA
"302","Mesophyllum erubescens",NA,NA
"303","Mesophyllum erubescens",NA,NA
"304","Mesophyllum erubescens",NA,NA
"305","Mesophyllum erubescens",NA,NA
"306","Mesophyllum erubescens",NA,NA
"307","Mesophyllum erubescens",NA,NA
"308","Mesophyllum erubescens",NA,NA
"309","Mesophyllum erubescens",NA,NA
"310","Mesophyllum erubescens",NA,NA
"311","Mesophyllum erubescens",144.6167,-38.3
"312","Mesophyllum erubescens",144.6167,-38.3
"313","Mesophyllum erubescens",144.1667,-38.4167
"314","Mesophyllum erubescens",144.1667,-38.4167
"315","Mesophyllum erubescens",142.25,-38.3667
"316","Mesophyllum erubescens",145.4534,-14.6459
"317","Mesophyllum erubescens",145.4534,-14.6459
"318","Mesophyllum erubescens",-157.856,21.5576
"319","Mesophyllum erubescens",-156.9,20.9145
"320","Mesophyllum erubescens",138.2,34.68
